"Sp","Order","diet_hoc","wild_status_reseq","IUCN","threatened","harm_mean_wt2","gw_het_mean","outbred_het_mode","froh","ppn_conserved","phylop_kurtosis","ppn_miss_conserved","het_miss_impc_L","het_miss_impc_V","het_lof_impc_L","het_lof_impc_V","hom_miss_impc_L","hom_miss_impc_V"
"Acinonyx_jubatus","CARNIVORA","Carnivore","wild","VU",1,0.0775233629,0.00033515,0.00055,0.8686540046,0.0336215373,23.5318774532,0.131824438,"NA","NA","NA","NA",0.3085490668,0.3780470621
"Acomys_cahirinus","RODENTIA","Omnivore","captive","LC",0,2.5395797383,0.00012143,0.0004,0.9578568717,0.0363930166,20.8598963641,0.069991505,"NA","NA","NA","NA",0.2379464356,0.3154924829
"Ailuropoda_melanoleuca","CARNIVORA","Omnivore","captive","VU",1,1.1759829584,0.0044866,0.001,0.3374150936,0.0298732375,22.839135382,0.087624919,0.3235294118,0.2962962963,0,0,0.2540253328,0.3489171807
"Ailurus_fulgens","CARNIVORA","Omnivore","wild","EN",1,1.8658165867,"NA","NA","NA",0.0224212116,26.7279050523,0.062419442,"NA","NA","NA","NA",0.2236381585,0.3183922151
"Allactaga_bullata","RODENTIA","Omnivore","wild","LC",0,9.8754708206,0.00299768,0.0028,0.027533834,0.0377994762,22.2851469274,0.066352173,0.273006135,0.3170068027,0,0.0040816327,0.2241275208,0.2931758189
"Alouatta_palliata","PRIMATES","Herbivore","captive","EN",1,1.2811500087,0.00064198,0.0004,0.6743768472,0.0315243068,25.5738756801,0.089418022,0.3985507246,0.44375,0,0.003125,0.2781433524,0.3665021372
"Ammotragus_lervia","CETARTIODACTYLA","Herbivore","NA","VU",1,3.9322977122,0.00228849,0.0028,0.3282845925,0.0263816527,27.2214522585,0.060572848,0.2987654321,0.3417047184,0,0.003805175,0.2111463942,0.28567764
"Anoura_caudifer","CHIROPTERA","Omnivore","wild","LC",0,4.009531834,0.00216112,0.0015,0.1149008624,0.0317333302,23.5258162862,0.077565179,0.2566168009,0.333512931,0.002301496,0.0021551724,0.2304053649,0.3236652977
"Antilocapra_americana","CETARTIODACTYLA","Herbivore","captive","LC",0,3.509396035,0.00134034,0.0005,0.4824856735,0.0285859883,24.5793231195,0.068183352,0.2930327869,0.3770491803,0,0.0023419204,0.2240061542,0.3035886528
"Aotus_nancymaae","PRIMATES","Omnivore","captive","VU",1,"NA","NA","NA","NA",0.0277451845,26.8932840573,0.085157436,"NA","NA","NA","NA",0.2662926358,0.3458776214
"Aplodontia_rufa","RODENTIA","Herbivore","wild","LC",0,3.576008811,0.0024757,0.0015,0.091569229,0.0273203931,26.1164447149,0.058222188,0.3647058824,0.3944223108,0,0.0029880478,0.2192557984,0.3102894258
"Artibeus_jamaicensis","CHIROPTERA","Herbivore","wild","LC",0,4.7547747129,0.00470795,0.007,0.237308744,0.0311980683,23.5590366652,0.071592176,0.1977886978,0.2767483562,0.0024570025,0.0023909145,0.2323290607,0.3111784237
"Ateles_geoffroyi","PRIMATES","Omnivore","wild","EN",1,1.3632307539,0.00367714,0.0028,0.0669669142,0.0316530641,23.4793069857,0.090318072,0.2233804914,0.2716190476,0.0018207399,0.001028885,0.2719298246,0.3608296498
"Balaenoptera_acutorostrata","CETARTIODACTYLA","Carnivore","wild","LC",0,0.5518060286,0.00157339,0.0012,0.1433188526,0.0409706531,22.4224296096,0.159604373,0.4133611691,0.4508990318,0.0042016807,0.0027662517,0.3520876518,0.4108262108
"Balaenoptera_bonaerensis","CETARTIODACTYLA","Carnivore","wild","NT",1,0.5271824006,0.001340337,0.0025,0.0547374914,0.0341938127,24.5231095122,0.112446828,0.2470588235,0.3583815029,0.0117647059,0,0.2916145181,0.3730569948
"Beatragus_hunteri","CETARTIODACTYLA","Herbivore","captive","CR",1,0.8283551421,0.00045077,0.0004,0.6074211878,0.0294209705,24.5061043946,0.070458971,0.2795698925,0.3397435897,0,0.0192307692,0.2321756043,0.3146511095
"Bison_bison","CETARTIODACTYLA","Herbivore","wild","NT",1,2.4947843511,0.00298303,0.0005,0.06440913,0.0360986489,23.4987127815,0.11346818,0.3333333333,0.4047976012,0.001650165,0.0007501875,0.2686031332,0.345602655
"Bos_indicus","CETARTIODACTYLA","Herbivore","domestic","LC",0,2.44167298,0.00471316,0.003,0.0199831409,0.0372076069,24.6335460627,0.124066314,0.2736318408,0.309947644,0.003327787,0.0052465897,0.3125608569,0.3377672209
"Bos_mutus","CETARTIODACTYLA","Herbivore","domestic","LC",0,2.8159320457,0.00263639,0.0015,0.0663813483,0.0346732685,24.4095296065,0.105639155,0.3224543081,0.3579661017,0.0039164491,0.0054274084,0.2865529774,0.3325514725
"Bos_taurus","CETARTIODACTYLA","Herbivore","domestic","LC",0,2.9955828059,0.00283483,0.001,0.1194197285,0.0388945948,23.4849644554,0.109955423,0.2872628726,0.3779429988,0,0.0012406948,0.2764673615,0.3340040241
"Bubalus_bubalis","CETARTIODACTYLA","Herbivore","domestic","LC",0,4.1963608061,0.00283719,0.003,0.350612372,0.0309577844,25.7512616562,0.072446556,0.2829845314,0.3299856528,0.0027322404,0.0019147918,0.2240114916,0.3120455569
"Callicebus_donacophilus","PRIMATES","Omnivore","wild","LC",0,1.4348791213,0.00139201,0.0012,0.2913849552,0.0300878904,25.5664657321,0.094190211,0.3485714286,0.3986332574,0,0,0.2747620273,0.3594795539
"Callithrix_jacchus","PRIMATES","Omnivore","captive","LC",0,"NA","NA","NA","NA",0.0317212499,24.7805840472,0.084460102,"NA","NA","NA","NA",0.2515985756,0.3316093846
"Camelus_bactrianus","CETARTIODACTYLA","Omnivore","domestic","LC",0,1.1449738671,0.00200406,0.001,0.2489148698,0.0446065446,21.4955097369,0.201099764,0.3220720721,0.352165725,0.0045045045,0.0065913371,0.4112149533,0.423553719
"Camelus_dromedarius","CETARTIODACTYLA","Omnivore","domestic","LC",0,0.9498111149,0.00140346,0.0006,0.3459995848,0.0376200196,21.8756066394,0.127288088,0.3266666667,0.3948220065,0.0066666667,0.001618123,0.2866354045,0.3748467762
"Camelus_ferus","CETARTIODACTYLA","Omnivore","wild","CR",1,0.702638273,0.000450771,0.002,0.1034900894,0.0407476066,21.6634671376,0.180187638,0.3262032086,0.3911439114,0.0053475936,0.0110701107,0.3723577236,0.402448355
"Canis_lupus","CARNIVORA","Carnivore","domestic","LC",0,1.9645895391,0.0023162273,0.0013,0.1139007263,0.0377557274,24.0392758771,0.158178752,"NA","NA","NA","NA",0.2925764192,0.3814713896
"Canis_lupus_familiaris","CARNIVORA","Carnivore","wild","LC",0,2.4789912337,0.001925049,0.0027,0.2649483889,0.0328847173,26.6326133312,0.134687954,"NA","NA","NA","NA",0.3112244898,0.3480278422
"Capra_aegagrus","CETARTIODACTYLA","Herbivore","wild","NT",1,3.9847694207,0.004133799,0.0032,0.0152450117,0.0346554621,25.8103600345,0.11562942,0.2952243126,0.361167685,0.0014492754,0.0006788866,0.262987013,0.3422071636
"Capra_hircus","CETARTIODACTYLA","Herbivore","domestic","LC",0,3.7225446533,0.00122489,0.002,0.6141548124,0.0325217221,26.1494571815,"NA","NA","NA","NA","NA","NA","NA"
"Capromys_pilorides","RODENTIA","Omnivore","wild","LC",0,4.3330143581,0.00323016,0.0006,0.3423171228,0.0428362447,22.0120534528,0.079206136,0.417721519,0.2881355932,0.0254237288,0.0042735043,0.2306663924,0.2965900383
"Carollia_perspicillata","CHIROPTERA","Omnivore","wild","LC",0,4.9072909596,0.00706802,0.008,0.0181825952,0.033759108,21.893611802,0.072661289,0.2367491166,0.2892086331,0.0017667845,0.003599712,0.2455486542,0.3009237875
"Castor_canadensis","RODENTIA","Herbivore","wild","LC",0,1.6803277385,0.00141408,0.0012,0.2141351469,0.0315355466,25.2517466663,0.061664571,0.3473389356,0.3595041322,0.0028011204,0.0013793103,0.2344685396,0.309716202
"Catagonus_wagneri","CETARTIODACTYLA","Omnivore","captive","EN",1,3.0269035454,0.0040012,0.002,0.0206198849,0.0264190179,23.3988003584,0.067516862,0.2062714123,0.272019837,0.0013326987,0.0013986383,0.2365084296,0.3294256883
"Cavia_aperea","RODENTIA","Herbivore","NA","LC",0,"NA","NA","NA","NA",0.0329849841,26.6783280858,0.06677551,"NA","NA","NA","NA",0.1862416107,0.2547368421
"Cavia_porcellus","RODENTIA","Herbivore","captive","LC",0,"NA","NA","NA","NA",0.0653314747,16.6854469037,0.230961924,"NA","NA","NA","NA",0.3808290155,0.4122340426
"Cavia_tschudii","RODENTIA","Herbivore","captive","LC",0,5.0992668712,0.00083648,0.0004,0.6359314754,0.0555624236,20.1534529909,0.184194151,0.3402061856,0.4172661871,0.0034364261,0.0047961631,0.3674121406,0.437716263
"Cebus_albifrons","PRIMATES","Omnivore","captive","LC",0,0.9390144706,0.00179481,0.0018,0.1898207891,0.038239763,25.139473359,0.126302414,0.3471502591,0.4301833568,0,0.0014124294,0.3709677419,0.4170403587
"Cebus_capucinus","PRIMATES","Omnivore","wild","VU",1,0.6739980107,0.00164428,0.0008,0.1511857984,0.0411194019,21.3124586534,0.13565081,0.4621026895,0.4744444444,0.0073891626,0.0055679287,0.2854851644,0.3900455433
"Ceratotherium_simum","PERISSODACTYLA","Herbivore","wild","NT",1,"NA","NA","NA","NA",0.0427171921,20.3180040664,0.172377102,"NA","NA","NA","NA",0.3623529412,0.4495556717
"Ceratotherium_simum_cottoni","PERISSODACTYLA","Herbivore","wild","CR",1,0.432229114,0.00094734,0.001,0.4042295014,0.0426872049,21.245342658,0.157090909,0.380952381,0.4008097166,0,0,0.3333333333,0.4176245211
"Cercocebus_atys","PRIMATES","Omnivore","captive","VU",1,2.220117105,0.00383624,0.003,0.0482042381,0.0285201554,24.375652249,0.077354927,0.3087431694,0.3692929293,0.002739726,0.0008093889,0.247251069,0.3269529848
"Cercopithecus_neglectus","PRIMATES","Omnivore","captive","LC",0,1.3685705487,0.00173266,0.0014,0.2657895024,0.0284037462,23.7288332635,0.075260055,0.3625498008,0.3795066414,0.0079681275,0.0019047619,0.2433501078,0.3153526971
"Chaetophractus_vellerosus","CINGULATA","Omnivore","wild","LC",0,2.9226723243,"NA","NA","NA",0.0361391327,25.9263224272,0.077036562,"NA","NA","NA","NA",0.2379356568,0.3236100235
"Cheirogaleus_medius","PRIMATES","Herbivore","captive","VU",1,3.8479674292,0.00234781,0.0006,0.2735553117,0.026911987,23.7239523191,0.0732969,0.2168126963,0.2611420613,0.0007440476,0.0007786566,0.2489014962,0.3237340165
"Chinchilla_lanigera","RODENTIA","Herbivore","wild","EN",1,10.524461098,0.00529275,0.006,0.2222100611,0.0301515237,22.7237726271,0.065963061,0.2778810409,0.3045212766,0.0013947001,0.0015961692,0.2161393452,0.3012265321
